,cno,tno,teacher_name,每周多少节,共多少周,同时上多少个班,班别,gno,gname,xingzhi,method,课时,学分
0,101,101048,陶文正,2,16,3,"181,182,183",180600026,Unix/Linux 操作系统分析,专业选修课程,考查,32,2.0
1,102,101048,陶文正,2,16,3,"184,185,186",180600026,Unix/Linux 操作系统分析,专业选修课程,考查,32,2.0
2,103,110003,计机（外聘3）,3,16,2,"181,182",180600080,机器学习与数据挖掘,专业必修课程,考试,48,3.0
3,104,110004,计机（外聘4）,3,16,2,"183,184",180600080,机器学习与数据挖掘,专业必修课程,考试,48,3.0
4,105,110005,杨朔,3,16,2,"185,186",180600080,机器学习与数据挖掘,专业必修课程,考试,48,3.0
5,106,110001,计机（外聘7）,3,16,3,"181,182,183",180610001,人工智能原理,专业必修课程,考试,48,3.0
6,107,204896,谭恒良,3,16,3,"184,185,186",180610001,人工智能原理,专业必修课程,考试,48,3.0
7,108,110002,庄育飞,2,16,3,"181,182,183",180600019,软件工程导论,专业选修课程,考试,32,2.0
8,109,110006,吴际,2,16,3,"184,185,186",180600019,软件工程导论,专业选修课程,考试,32,2.0
9,110,110008,吴昱,2,16,2,"181,182",180600017,编译原理,专业必修课程,考试,32,2.0
10,111,104087,唐卷,2,16,2,"183,184",180600017,编译原理,专业必修课程,考试,32,2.0
11,112,103168,冯元勇,2,16,2,"185,186",180600017,编译原理,专业必修课程,考试,32,2.0
12,113,110007,杨柳,2,16,3,"181,182,183",180600025,算法设计与分析,专业选修课程,考试,32,2.0
13,114,110009,陈文彬,2,16,3,"184,185,186",180600025,算法设计与分析,专业选修课程,考试,32,2.0
14,115,110001,计机（外聘7）,2,16,3,"181,182,183",180610002,人工智能原理实验,专业必修课程,考查,32,1.0
15,116,204896,谭恒良,2,16,3,"184,185,186",180610002,人工智能原理实验,专业必修课程,考查,32,1.0
16,117,101048,陶文正,2,8,3,"181,182,183",180600027,Unix/Linux操作系统分析实验,专业选修课程,考查,16,0.5
17,118,101048,陶文正,2,8,3,"184,185,186",180600027,Unix/Linux操作系统分析实验,专业选修课程,考查,16,0.5
18,119,110002,庄育飞,2,8,3,"181,182,183",180600020,软件工程导论实验,专业选修课程,考查,16,0.5
19,120,110006,吴际,2,8,3,"184,185,186",180600020,软件工程导论实验,专业选修课程,考查,16,0.5
20,121,110005,杨朔,2,8,2,"181,182",180600081,机器学习与数据挖掘实验,专业必修课程,考查,16,0.5
21,122,110003,计机（外聘3）,2,8,2,"183,184",180600081,机器学习与数据挖掘实验,专业必修课程,考查,16,0.5
22,123,110004,计机（外聘4）,2,8,2,"185,186",180600081,机器学习与数据挖掘实验,专业必修课程,考查,16,0.5
23,124,103325,王健雄,2,8,2,"181,182",180600018,编译原理实验,专业必修课程,考查,16,0.5
24,125,104087,唐卷,2,8,2,"183,184",180600018,编译原理实验,专业必修课程,考查,16,0.5
25,126,103168,冯元勇,2,8,2,"185,186",180600018,编译原理实验,专业必修课程,考查,16,0.5
